review_id,review_date,rating,wait_time,taste,service,comment
R001374,2024-01-13,2.3,10,2.4,2.1,整体体验很差，味道和服务都不行。
R000021,2024-01-14,4.7,24,4.5,3.7,很满意的一次用餐体验，味道赞，服务棒。
R000708,2024-01-14,4.9,17,4.6,3.7,朋友推荐来的，果然没失望，味道和服务都满分！
R000713,2024-01-14,3.7,22,3.0,3.0,味道过得去，服务也还行，价格稍贵。
R000768,2024-01-14,5.0,17,4.6,3.7,他们家的菜真的很合我口味，服务也到位。
R001035,2024-01-14,4.3,11,2.5,3.1,今天点的菜都很好吃，服务员也很贴心。
R001466,2024-01-14,4.3,12,3.0,3.8,特别喜欢他们家的菜，每次来都很满意。
R000499,2024-01-15,3.4,13,2.6,3.5,整体感觉一般，可能不会特意再来。
R000697,2024-01-15,4.4,18,3.1,4.2,味道非常棒，服务态度也很好，下次还会再来！
R000831,2024-01-15,3.2,12,2.3,2.4,勉强及格吧，各方面都很普通。
R001106,2024-01-15,3.1,13,2.7,3.0,菜品和服务都还过得去，性价比一般。
R001232,2024-01-15,2.9,28,3.1,2.8,味道过得去，服务也还行，价格稍贵。
R000015,2024-01-16,2.8,14,1.9,2.5,普通的一餐，没有特别惊喜的地方。
R000743,2024-01-16,2.4,30,3.0,3.6,各方面都需要改进，目前水平太差。
R001498,2024-01-16,5.0,5,4.4,3.2,口味正宗，服务热情，是我喜欢的餐厅。
R000014,2024-01-17,3.3,3,1.4,1.9,菜品口味还行，服务态度马马虎虎。
R000103,2024-01-17,3.6,9,3.8,4.2,味道过得去，服务也还行，价格稍贵。
R000238,2024-01-17,4.5,6,2.7,3.5,慕名而来，果然名不虚传，味道和服务都很好。
R000986,2024-01-17,2.7,21,1.5,3.3,勉强及格吧，各方面都很普通。
R001415,2024-01-17,4.0,20,2.9,3.0,味道还可以，服务一般，整体中规中矩吧。
R001324,2024-01-18,4.9,3,2.9,4.4,今天点的菜都很好吃，服务员也很贴心。
R000438,2024-01-19,2.7,18,1.8,3.5,味道过得去，服务也还行，价格稍贵。
R001074,2024-01-19,3.4,14,2.4,2.6,普通的餐厅，没有太多特色。
R001182,2024-01-19,5.0,12,3.6,3.8,口味正宗，服务热情，是我喜欢的餐厅。
R001214,2024-01-19,5.0,3,2.8,4.1,他们家的菜真的很合我口味，服务也到位。
R000475,2024-01-20,4.5,14,3.5,3.1,服务员很专业，菜品也很美味，点赞！
R000505,2024-01-20,4.3,3,2.6,3.5,慕名而来，果然名不虚传，味道和服务都很好。
R001391,2024-01-20,4.7,16,3.7,3.5,味道非常棒，服务态度也很好，下次还会再来！
R000344,2024-01-21,3.5,15,3.5,3.1,整体感觉一般，可能不会特意再来。
R000448,2024-01-21,3.1,14,2.3,2.1,菜品和服务都还过得去，性价比一般。
R000742,2024-01-21,2.7,19,2.7,2.3,菜品口味还行，服务态度马马虎虎。
R001030,2024-01-21,3.7,5,3.0,2.8,味道过得去，服务也还行，价格稍贵。
R001045,2024-01-21,3.3,34,3.6,3.1,菜品口味还行，服务态度马马虎虎。
R001321,2024-01-21,4.4,12,3.2,3.4,口味正宗，服务热情，是我喜欢的餐厅。
R000445,2024-01-22,3.0,19,2.8,3.8,菜品和服务都属于一般水平，不难吃也不惊艳。
R000787,2024-01-22,4.7,21,3.8,3.1,口味正宗，服务热情，是我喜欢的餐厅。
R000049,2024-01-23,3.6,21,3.6,3.8,菜品口味还行，服务态度马马虎虎。
R000420,2024-01-23,4.1,11,3.0,4.2,很满意的一次用餐体验，味道赞，服务棒。
R000519,2024-01-23,3.1,20,3.9,3.5,菜品和服务都还过得去，性价比一般。
R001172,2024-01-23,4.0,19,3.3,3.6,味道还可以，服务一般，整体中规中矩吧。
R001492,2024-01-23,4.6,19,3.4,4.2,强烈推荐这家餐厅，味道好，服务一流！
R000064,2024-01-24,3.5,22,2.3,3.0,菜品口味还行，服务态度马马虎虎。
R000592,2024-01-24,3.2,17,3.2,2.7,整体感觉一般，可能不会特意再来。
R000912,2024-01-24,4.1,27,3.4,3.2,服务员很专业，菜品也很美味，点赞！
R001233,2024-01-24,3.8,19,2.8,4.0,味道还可以，服务一般，整体中规中矩吧。
R001390,2024-01-24,3.5,18,3.1,2.8,菜品口味还行，服务态度马马虎虎。
R000134,2024-01-25,4.1,23,4.2,4.1,强烈推荐这家餐厅，味道好，服务一流！
R000288,2024-01-26,5.0,8,3.4,3.3,味道非常棒，服务态度也很好，下次还会再来！
R000323,2024-01-26,3.3,13,2.0,2.5,菜品口味还行，服务态度马马虎虎。
R000618,2024-01-26,5.0,7,3.5,3.4,特别喜欢他们家的菜，每次来都很满意。
R000720,2024-01-26,4.3,13,3.1,2.7,特别喜欢他们家的菜，每次来都很满意。
R001301,2024-01-26,3.2,16,2.6,3.3,普通的一餐，没有特别惊喜的地方。
R001442,2024-01-26,5.0,11,4.0,4.4,口味正宗，服务热情，是我喜欢的餐厅。
R000415,2024-01-27,4.9,3,3.1,2.8,很满意的一次用餐体验，味道赞，服务棒。
R000736,2024-01-27,4.3,20,3.4,4.9,慕名而来，果然名不虚传，味道和服务都很好。
R000929,2024-01-27,4.7,23,3.3,3.5,服务员很专业，菜品也很美味，点赞！
R001096,2024-01-27,3.9,3,2.6,2.3,普通的餐厅，没有太多特色。
R001476,2024-01-27,5.0,15,3.8,3.3,菜品色香味俱全，服务员态度超好。
R000264,2024-01-28,3.8,3,3.2,3.1,普通的一餐，没有特别惊喜的地方。
R000913,2024-01-28,4.4,6,3.8,3.1,环境不错，菜品精致，服务员很有耐心。
R000940,2024-01-28,3.6,3,2.5,3.1,味道中规中矩，服务态度一般般。
R001088,2024-01-28,3.7,13,3.4,1.9,菜品和服务都属于一般水平，不难吃也不惊艳。
R000101,2024-01-29,2.8,13,2.1,2.6,菜品和服务都属于一般水平，不难吃也不惊艳。
R001235,2024-01-29,2.6,30,2.0,2.7,味道中规中矩，服务态度一般般。
R000189,2024-01-30,3.2,17,3.2,2.1,菜品和服务都属于一般水平，不难吃也不惊艳。
R000317,2024-01-30,5.0,3,3.6,4.5,美食与服务兼具，值得推荐给大家！
R000322,2024-01-30,4.5,15,3.1,3.6,口味正宗，服务热情，是我喜欢的餐厅。
R000329,2024-01-30,5.0,14,3.0,4.3,今天用餐很愉快，菜品美味，服务周到。
R000235,2024-01-31,4.7,21,3.3,4.2,今天点的菜都很好吃，服务员也很贴心。
R000300,2024-01-31,4.3,15,4.1,4.1,菜品口味极佳，服务员很热情，整体体验很棒。
R000964,2024-01-31,4.9,5,4.0,3.3,特别喜欢他们家的菜，每次来都很满意。
R001010,2024-01-31,4.4,4,3.2,3.1,口味正宗，服务热情，是我喜欢的餐厅。
R000269,2024-02-01,3.9,15,3.1,3.8,普通的餐厅，没有太多特色。
R000320,2024-02-01,4.2,7,4.3,3.2,今天用餐很愉快，菜品美味，服务周到。
R000673,2024-02-01,4.0,12,2.4,3.0,勉强及格吧，各方面都很普通。
R001429,2024-02-01,3.4,27,3.1,4.0,菜品和服务都还过得去，性价比一般。
R001499,2024-02-01,3.9,17,2.7,4.2,味道过得去，服务也还行，价格稍贵。
R000142,2024-02-02,4.5,26,2.8,4.1,很满意的一次用餐体验，味道赞，服务棒。
R000223,2024-02-02,4.3,20,4.3,3.7,今天用餐很愉快，菜品美味，服务周到。
R000666,2024-02-02,4.2,6,2.6,4.0,很满意的一次用餐体验，味道赞，服务棒。
R001381,2024-02-02,5.0,3,3.7,2.3,慕名而来，果然名不虚传，味道和服务都很好。
R001481,2024-02-02,4.4,17,3.0,3.1,菜品口味极佳，服务员很热情，整体体验很棒。
R000107,2024-02-03,5.0,15,3.3,3.8,慕名而来，果然名不虚传，味道和服务都很好。
R000933,2024-02-03,3.0,14,2.8,2.8,味道还可以，服务一般，整体中规中矩吧。
R000237,2024-02-04,2.6,6,2.6,2.0,味道中规中矩，服务态度一般般。
R000335,2024-02-04,4.9,10,4.4,2.7,今天点的菜都很好吃，服务员也很贴心。
R000063,2024-02-05,3.5,3,2.5,2.3,味道中规中矩，服务态度一般般。
R000195,2024-02-05,3.3,16,2.5,3.4,普通的一餐，没有特别惊喜的地方。
R000333,2024-02-05,3.6,22,4.0,3.8,普通的餐厅，没有太多特色。
R000379,2024-02-05,5.0,3,4.2,3.6,菜品色香味俱全，服务员态度超好。
R000490,2024-02-05,5.0,18,2.9,5.0,强烈推荐这家餐厅，味道好，服务一流！
R000530,2024-02-05,3.2,11,2.2,3.0,味道还可以，服务一般，整体中规中矩吧。
R000740,2024-02-05,4.3,20,3.1,4.4,服务员很专业，菜品也很美味，点赞！
R000793,2024-02-05,4.5,15,3.5,2.6,菜品色香味俱全，服务员态度超好。
R001141,2024-02-05,2.2,29,3.3,3.7,非常失望的一次用餐，不会再来了。
R001216,2024-02-05,5.0,3,4.2,3.7,美食与服务兼具，值得推荐给大家！
R001448,2024-02-05,4.8,3,3.6,4.4,朋友推荐来的，果然没失望，味道和服务都满分！
R000085,2024-02-06,3.2,18,2.7,2.9,菜品和服务都属于一般水平，不难吃也不惊艳。
R000232,2024-02-06,4.2,12,2.3,3.5,特别喜欢他们家的菜，每次来都很满意。
R000240,2024-02-06,4.3,28,4.1,4.2,很满意的一次用餐体验，味道赞，服务棒。
R000993,2024-02-06,4.2,11,2.1,3.1,朋友推荐来的，果然没失望，味道和服务都满分！
R001009,2024-02-06,5.0,4,3.5,3.8,环境不错，菜品精致，服务员很有耐心。
R000366,2024-02-07,4.7,3,4.0,2.2,环境不错，菜品精致，服务员很有耐心。
R000372,2024-02-07,4.4,13,2.9,4.5,今天点的菜都很好吃，服务员也很贴心。
R000596,2024-02-07,4.0,14,3.5,2.9,慕名而来，果然名不虚传，味道和服务都很好。
R000936,2024-02-07,3.9,12,3.1,2.8,普通的一餐，没有特别惊喜的地方。
R001271,2024-02-07,4.4,13,3.7,5.0,很满意的一次用餐体验，味道赞，服务棒。
R000284,2024-02-08,3.1,21,2.9,2.2,菜品和服务都属于一般水平，不难吃也不惊艳。
R000434,2024-02-08,4.2,14,3.6,4.4,环境不错，菜品精致，服务员很有耐心。
R000775,2024-02-08,4.5,6,2.7,3.5,特别喜欢他们家的菜，每次来都很满意。
R000977,2024-02-08,3.8,13,3.2,3.1,味道还可以，服务一般，整体中规中矩吧。
R001197,2024-02-08,3.8,23,3.7,3.2,普通的餐厅，没有太多特色。
R001347,2024-02-08,1.9,10,1.7,3.9,味道不太合我的口味，有点失望。
R000649,2024-02-09,4.2,14,3.5,3.7,菜品口味极佳，服务员很热情，整体体验很棒。
R000054,2024-02-10,5.0,8,3.2,3.1,朋友推荐来的，果然没失望，味道和服务都满分！
R000068,2024-02-10,5.0,19,3.8,3.1,他们家的菜真的很合我口味，服务也到位。
R000192,2024-02-10,4.5,11,4.0,4.0,味道非常棒，服务态度也很好，下次还会再来！
R001249,2024-02-10,3.5,18,3.6,3.5,菜品口味还行，服务态度马马虎虎。
R000331,2024-02-11,4.2,20,3.7,3.9,强烈推荐这家餐厅，味道好，服务一流！
R000346,2024-02-11,4.6,6,4.1,3.8,味道非常棒，服务态度也很好，下次还会再来！
R000657,2024-02-11,3.8,11,3.2,3.5,菜品口味还行，服务态度马马虎虎。
R000732,2024-02-11,2.7,21,2.2,3.2,普通的餐厅，没有太多特色。
R000972,2024-02-11,2.7,33,2.3,3.3,勉强及格吧，各方面都很普通。
R001028,2024-02-11,3.6,19,3.1,3.5,勉强及格吧，各方面都很普通。
R001205,2024-02-11,3.5,16,3.3,3.2,菜品口味还行，服务态度马马虎虎。
R000714,2024-02-12,4.6,11,2.4,3.8,菜品口味极佳，服务员很热情，整体体验很棒。
R000193,2024-02-13,3.7,21,4.5,4.1,普通的餐厅，没有太多特色。
R000577,2024-02-13,3.8,19,2.9,3.5,整体感觉一般，可能不会特意再来。
R000848,2024-02-13,5.0,8,3.7,2.7,美食与服务兼具，值得推荐给大家！
R000945,2024-02-13,4.7,10,3.7,4.5,美食与服务兼具，值得推荐给大家！
R000011,2024-02-14,4.0,5,2.9,2.5,朋友推荐来的，果然没失望，味道和服务都满分！
R000821,2024-02-14,4.1,18,2.7,3.3,环境不错，菜品精致，服务员很有耐心。
R001076,2024-02-15,4.3,6,3.0,2.0,今天点的菜都很好吃，服务员也很贴心。
R000133,2024-02-16,4.0,9,1.7,3.1,菜品和服务都还过得去，性价比一般。
R001036,2024-02-16,5.0,12,4.4,5.0,菜品色香味俱全，服务员态度超好。
R001057,2024-02-16,4.4,3,3.9,3.4,他们家的菜真的很合我口味，服务也到位。
R001222,2024-02-16,3.8,10,3.8,4.6,味道中规中矩，服务态度一般般。
R001328,2024-02-16,4.0,14,3.6,3.4,特别喜欢他们家的菜，每次来都很满意。
R001355,2024-02-16,3.6,24,3.1,2.3,味道中规中矩，服务态度一般般。
R001435,2024-02-16,3.5,22,2.8,4.3,菜品和服务都还过得去，性价比一般。
R000016,2024-02-17,3.3,14,3.4,2.6,菜品和服务都属于一般水平，不难吃也不惊艳。
R000042,2024-02-17,3.9,29,3.4,4.6,味道过得去，服务也还行，价格稍贵。
R000292,2024-02-17,4.0,15,1.7,2.9,环境不错，菜品精致，服务员很有耐心。
R000416,2024-02-17,3.4,10,2.7,3.2,勉强及格吧，各方面都很普通。
R000584,2024-02-17,5.0,3,3.3,3.4,美食与服务兼具，值得推荐给大家！
R000861,2024-02-17,4.3,6,3.1,3.5,口味正宗，服务热情，是我喜欢的餐厅。
R001117,2024-02-17,5.0,9,3.8,3.9,朋友推荐来的，果然没失望，味道和服务都满分！
R000256,2024-02-18,2.6,25,3.0,3.3,普通的一餐，没有特别惊喜的地方。
R000044,2024-02-19,3.8,11,3.1,2.9,整体感觉一般，可能不会特意再来。
R000257,2024-02-19,5.0,13,3.5,3.1,强烈推荐这家餐厅，味道好，服务一流！
R001318,2024-02-19,4.0,17,3.6,3.4,今天用餐很愉快，菜品美味，服务周到。
R001395,2024-02-19,3.6,19,3.4,3.5,味道过得去，服务也还行，价格稍贵。
R000268,2024-02-20,3.2,13,2.2,2.6,普通的餐厅，没有太多特色。
R000287,2024-02-20,3.7,12,2.9,3.8,勉强及格吧，各方面都很普通。
R000966,2024-02-20,4.9,22,4.1,4.0,他们家的菜真的很合我口味，服务也到位。
R001224,2024-02-20,4.8,26,4.0,3.2,朋友推荐来的，果然没失望，味道和服务都满分！
R001410,2024-02-20,3.8,25,3.5,2.7,味道中规中矩，服务态度一般般。
R001423,2024-02-20,3.4,13,3.6,3.6,勉强及格吧，各方面都很普通。
R000070,2024-02-21,3.5,10,3.2,3.1,菜品和服务都还过得去，性价比一般。
R000371,2024-02-21,4.3,6,3.2,5.0,环境不错，菜品精致，服务员很有耐心。
R000900,2024-02-21,2.9,15,2.9,3.2,普通的一餐，没有特别惊喜的地方。
R001187,2024-02-21,2.5,18,3.8,3.7,各方面都需要改进，目前水平太差。
R001189,2024-02-21,4.1,21,3.3,2.9,美食与服务兼具，值得推荐给大家！
R001227,2024-02-21,3.7,23,4.2,2.1,菜品口味还行，服务态度马马虎虎。
R000008,2024-02-22,3.9,22,2.9,3.9,普通的餐厅，没有太多特色。
R000041,2024-02-22,4.9,14,3.9,3.1,服务员很专业，菜品也很美味，点赞！
R000454,2024-02-22,4.5,9,3.2,4.2,他们家的菜真的很合我口味，服务也到位。
R000780,2024-02-22,4.3,18,3.5,3.7,慕名而来，果然名不虚传，味道和服务都很好。
R000920,2024-02-22,4.6,4,3.3,2.8,强烈推荐这家餐厅，味道好，服务一流！
R000396,2024-02-23,4.0,12,2.2,3.2,菜品口味还行，服务态度马马虎虎。
R001064,2024-02-23,2.6,17,2.4,3.0,普通的一餐，没有特别惊喜的地方。
R000168,2024-02-24,5.0,10,4.0,5.0,朋友推荐来的，果然没失望，味道和服务都满分！
R000400,2024-02-24,4.7,12,3.7,4.4,菜品口味极佳，服务员很热情，整体体验很棒。
R000611,2024-02-24,4.9,10,3.6,3.4,强烈推荐这家餐厅，味道好，服务一流！
R000800,2024-02-24,4.9,3,2.7,3.6,服务员很专业，菜品也很美味，点赞！
R001285,2024-02-24,3.9,11,2.4,2.9,菜品和服务都还过得去，性价比一般。
R000272,2024-02-25,2.6,28,2.0,2.1,勉强及格吧，各方面都很普通。
R000473,2024-02-25,2.6,20,2.4,2.1,菜品和服务都属于一般水平，不难吃也不惊艳。
R000506,2024-02-25,3.5,16,2.2,2.4,普通的餐厅，没有太多特色。
R000766,2024-02-25,3.2,24,2.8,2.6,整体感觉一般，可能不会特意再来。
R001370,2024-02-25,2.8,24,2.8,2.7,普通的一餐，没有特别惊喜的地方。
R001487,2024-02-25,3.3,14,2.6,2.2,味道中规中矩，服务态度一般般。
R000135,2024-02-26,3.1,12,2.7,2.6,味道中规中矩，服务态度一般般。
R001464,2024-02-26,3.3,6,3.3,2.2,味道还可以，服务一般，整体中规中矩吧。
R000002,2024-02-27,3.9,10,2.7,2.5,味道中规中矩，服务态度一般般。
R000158,2024-02-27,3.7,25,3.5,3.1,味道中规中矩，服务态度一般般。
R000185,2024-02-27,4.2,5,2.7,2.7,他们家的菜真的很合我口味，服务也到位。
R000433,2024-02-27,3.5,11,3.3,4.2,味道过得去，服务也还行，价格稍贵。
R000152,2024-02-28,3.9,17,3.2,3.9,勉强及格吧，各方面都很普通。
R000753,2024-02-28,3.6,3,3.3,2.7,整体感觉一般，可能不会特意再来。
R000763,2024-02-28,4.7,24,3.5,4.2,朋友推荐来的，果然没失望，味道和服务都满分！
R000932,2024-02-28,5.0,6,4.7,3.6,今天点的菜都很好吃，服务员也很贴心。
R001002,2024-02-28,3.9,22,3.7,4.2,菜品和服务都还过得去，性价比一般。
R001119,2024-02-28,3.8,18,3.1,3.7,菜品和服务都属于一般水平，不难吃也不惊艳。
R001345,2024-02-28,4.6,16,3.4,4.3,服务员很专业，菜品也很美味，点赞！
R001480,2024-02-28,3.5,16,3.5,3.5,整体感觉一般，可能不会特意再来。
R000399,2024-02-29,4.0,19,4.3,3.7,他们家的菜真的很合我口味，服务也到位。
R000500,2024-02-29,3.0,9,2.2,2.2,普通的一餐，没有特别惊喜的地方。
R000514,2024-02-29,3.5,7,1.8,2.8,味道还可以，服务一般，整体中规中矩吧。
R001080,2024-02-29,4.1,29,3.5,3.8,菜品色香味俱全，服务员态度超好。
R001388,2024-02-29,4.7,26,3.2,3.5,强烈推荐这家餐厅，味道好，服务一流！
R001394,2024-02-29,4.0,16,3.0,2.6,味道还可以，服务一般，整体中规中矩吧。
R000947,2024-03-01,2.1,17,2.6,1.9,非常失望的一次用餐，不会再来了。
R001121,2024-03-01,4.6,20,3.5,3.7,口味正宗，服务热情，是我喜欢的餐厅。
R000220,2024-03-02,4.6,11,3.6,3.5,特别喜欢他们家的菜，每次来都很满意。
R000339,2024-03-02,4.4,14,3.7,4.4,朋友推荐来的，果然没失望，味道和服务都满分！
R000785,2024-03-02,4.8,11,3.7,4.6,菜品色香味俱全，服务员态度超好。
R000885,2024-03-02,4.6,15,3.5,4.2,朋友推荐来的，果然没失望，味道和服务都满分！
R000888,2024-03-02,4.6,7,2.9,2.3,菜品口味极佳，服务员很热情，整体体验很棒。
R000621,2024-03-03,1.9,34,2.1,2.2,性价比很低，不值得来。
R001105,2024-03-03,5.0,10,3.8,4.2,美食与服务兼具，值得推荐给大家！
R001433,2024-03-03,5.0,7,3.8,3.9,环境不错，菜品精致，服务员很有耐心。
R000052,2024-03-04,4.1,13,2.6,3.7,朋友推荐来的，果然没失望，味道和服务都满分！
R000536,2024-03-04,3.4,37,4.0,4.9,菜品口味还行，服务态度马马虎虎。
R001017,2024-03-04,3.5,15,2.6,3.4,味道中规中矩，服务态度一般般。
R001360,2024-03-04,4.7,16,3.6,3.1,菜品色香味俱全，服务员态度超好。
R000197,2024-03-05,3.2,6,3.1,3.3,味道中规中矩，服务态度一般般。
R000750,2024-03-05,2.5,22,1.7,3.0,菜品和服务都属于一般水平，不难吃也不惊艳。
R000910,2024-03-05,5.0,5,3.5,4.7,口味正宗，服务热情，是我喜欢的餐厅。
R000917,2024-03-05,4.0,19,3.5,3.5,味道中规中矩，服务态度一般般。
R001183,2024-03-05,5.0,12,3.3,3.2,今天用餐很愉快，菜品美味，服务周到。
R001445,2024-03-05,3.7,17,2.5,3.9,味道中规中矩，服务态度一般般。
R001477,2024-03-05,2.8,25,2.9,4.3,菜品口味还行，服务态度马马虎虎。
R000198,2024-03-06,4.2,9,2.3,4.2,今天点的菜都很好吃，服务员也很贴心。
R000444,2024-03-06,4.3,12,3.9,2.9,他们家的菜真的很合我口味，服务也到位。
R000547,2024-03-06,4.0,15,3.9,2.4,味道过得去，服务也还行，价格稍贵。
R000705,2024-03-06,3.0,7,2.3,4.1,勉强及格吧，各方面都很普通。
R000423,2024-03-07,4.6,6,3.3,3.6,特别喜欢他们家的菜，每次来都很满意。
R001460,2024-03-07,4.5,6,3.9,5.0,强烈推荐这家餐厅，味道好，服务一流！
R000248,2024-03-08,3.5,19,2.5,2.4,菜品口味还行，服务态度马马虎虎。
R000360,2024-03-08,2.8,17,2.2,2.9,菜品口味还行，服务态度马马虎虎。
R000377,2024-03-08,5.0,10,3.5,3.0,慕名而来，果然名不虚传，味道和服务都很好。
R001100,2024-03-08,4.0,11,3.4,3.8,今天点的菜都很好吃，服务员也很贴心。
R001327,2024-03-08,3.2,24,2.4,2.9,味道还可以，服务一般，整体中规中矩吧。
R001334,2024-03-08,5.0,12,4.0,4.5,美食与服务兼具，值得推荐给大家！
R001467,2024-03-08,4.8,17,4.3,4.5,特别喜欢他们家的菜，每次来都很满意。
R000397,2024-03-09,2.8,12,2.5,1.6,菜品和服务都属于一般水平，不难吃也不惊艳。
R000623,2024-03-09,5.0,14,2.9,3.8,味道非常棒，服务态度也很好，下次还会再来！
R000717,2024-03-10,4.6,11,4.9,3.6,今天用餐很愉快，菜品美味，服务周到。
R001140,2024-03-10,4.8,18,3.6,3.9,菜品色香味俱全，服务员态度超好。
R001398,2024-03-10,2.7,28,2.2,3.6,菜品口味还行，服务态度马马虎虎。
R000130,2024-03-11,2.9,21,2.7,3.4,味道还可以，服务一般，整体中规中矩吧。
R000658,2024-03-11,4.6,12,2.1,5.0,菜品口味极佳，服务员很热情，整体体验很棒。
R001316,2024-03-11,3.2,21,3.0,3.2,味道还可以，服务一般，整体中规中矩吧。
R000007,2024-03-12,4.7,20,4.1,4.4,服务员很专业，菜品也很美味，点赞！
R000119,2024-03-12,5.0,11,4.4,3.9,服务员很专业，菜品也很美味，点赞！
R000278,2024-03-12,3.5,14,2.9,3.8,整体感觉一般，可能不会特意再来。
R001389,2024-03-12,4.3,11,3.3,2.1,服务员很专业，菜品也很美味，点赞！
R001008,2024-03-13,4.6,24,3.2,2.2,美食与服务兼具，值得推荐给大家！
R001348,2024-03-13,4.6,8,2.9,3.3,环境不错，菜品精致，服务员很有耐心。
R000117,2024-03-14,4.1,17,3.1,4.1,很满意的一次用餐体验，味道赞，服务棒。
R001193,2024-03-14,3.5,14,3.5,3.3,菜品和服务都属于一般水平，不难吃也不惊艳。
R001257,2024-03-14,4.9,16,3.5,4.3,很满意的一次用餐体验，味道赞，服务棒。
R001135,2024-03-15,3.2,28,3.0,2.8,味道还可以，服务一般，整体中规中矩吧。
R001240,2024-03-15,4.5,21,3.9,4.1,环境不错，菜品精致，服务员很有耐心。
R001459,2024-03-15,4.5,24,3.1,3.7,慕名而来，果然名不虚传，味道和服务都很好。
R000442,2024-03-16,4.1,11,2.9,3.3,口味正宗，服务热情，是我喜欢的餐厅。
R000590,2024-03-16,3.0,26,2.5,2.6,整体感觉一般，可能不会特意再来。
R000607,2024-03-16,3.5,7,2.4,2.4,菜品和服务都属于一般水平，不难吃也不惊艳。
R001455,2024-03-16,4.5,7,4.2,4.0,今天用餐很愉快，菜品美味，服务周到。
R000436,2024-03-17,4.4,3,3.7,3.8,他们家的菜真的很合我口味，服务也到位。
