入住日期,退房日期,房间类型,价格,客户来源渠道
2025-02-05,2025-02-08,大床房,550,携程
2025-02-06,2025-02-08,标准间,450,飞猪
2025-02-06,2025-02-09,套房,980,美团
2025-02-07,2025-02-09,标准间,450,携程
2025-02-07,2025-02-10,大床房,550,携程
2025-02-08,2025-02-10,标准间,450,携程
2025-02-08,2025-02-11,套房,980,携程
2025-02-09,2025-02-11,大床房,550,Booking
2025-02-09,2025-02-12,标准间,450,美团
2025-02-10,2025-02-12,标准间,450,携程
2025-02-10,2025-02-13,大床房,550,携程
2025-02-11,2025-02-13,套房,980,直接预订
2025-02-11,2025-02-14,标准间,450,飞猪
2025-02-12,2025-02-14,标准间,450,携程
2025-02-12,2025-02-15,大床房,550,携程
2025-02-13,2025-02-15,标准间,450,美团
2025-02-13,2025-02-16,套房,980,携程
2025-02-14,2025-02-16,大床房,550,携程
2025-02-14,2025-02-17,标准间,450,携程
2025-02-15,2025-02-17,标准间,450,直接预订
2025-02-15,2025-02-18,大床房,550,Booking
2025-02-16,2025-02-18,套房,980,携程
2025-02-16,2025-02-19,标准间,450,美团
2025-02-17,2025-02-19,标准间,450,携程
2025-02-17,2025-02-20,大床房,550,携程
2025-02-18,2025-02-20,标准间,450,飞猪
2025-02-18,2025-02-21,套房,980,携程
2025-02-19,2025-02-21,大床房,550,美团
2025-02-19,2025-02-22,标准间,450,携程
2025-02-20,2025-02-22,标准间,450,携程
2025-02-20,2025-02-23,大床房,550,直接预订
2025-02-21,2025-02-23,套房,980,携程
2025-02-21,2025-02-24,标准间,450,携程
2025-02-22,2025-02-24,标准间,450,Booking
2025-02-22,2025-02-25,大床房,550,美团
2025-02-23,2025-02-25,标准间,450,携程
2025-02-23,2025-02-26,套房,980,飞猪
2025-02-24,2025-02-26,大床房,550,携程
2025-02-24,2025-02-27,标准间,450,携程
2025-02-25,2025-02-27,标准间,450,携程
2025-02-25,2025-02-28,大床房,550,直接预订
2025-02-26,2025-02-28,套房,980,美团
2025-02-26,2025-03-01,标准间,450,携程
2025-02-27,2025-03-01,标准间,450,携程
2025-02-27,2025-03-02,大床房,550,Booking
2025-02-28,2025-03-02,标准间,450,飞猪
2025-02-28,2025-03-03,套房,980,携程
2025-03-01,2025-03-03,标准间,380,携程
2025-03-01,2025-03-04,大床房,450,携程
2025-03-02,2025-03-04,标准间,380,美团
2025-03-02,2025-03-05,套房,880,携程
2025-03-03,2025-03-05,标准间,380,携程
2025-03-03,2025-03-06,大床房,450,携程
2025-03-04,2025-03-06,标准间,380,直接预订
2025-03-04,2025-03-07,套房,880,携程
2025-03-05,2025-03-07,标准间,380,飞猪
2025-03-05,2025-03-08,大床房,450,美团
2025-03-06,2025-03-08,标准间,380,携程
2025-03-06,2025-03-09,套房,880,携程
2025-03-07,2025-03-09,标准间,380,携程
2025-03-07,2025-03-10,大床房,450,携程
2025-03-08,2025-03-10,标准间,380,Booking
2025-03-08,2025-03-11,套房,880,美团
2025-03-09,2025-03-11,标准间,380,携程
2025-03-09,2025-03-12,大床房,450,直接预订
2025-03-10,2025-03-12,标准间,380,携程
2025-03-10,2025-03-13,套房,880,飞猪
2025-03-11,2025-03-13,标准间,380,携程
2025-03-11,2025-03-14,大床房,450,携程
2025-03-12,2025-03-14,标准间,380,美团
2025-03-12,2025-03-15,套房,880,携程
2025-03-13,2025-03-15,标准间,380,携程
2025-03-13,2025-03-16,大床房,450,携程
2025-03-14,2025-03-16,标准间,380,直接预订
2025-03-14,2025-03-17,套房,880,Booking
2025-03-15,2025-03-17,标准间,380,携程
2025-03-15,2025-03-18,大床房,450,飞猪
2025-03-16,2025-03-18,标准间,380,美团
2025-03-16,2025-03-19,套房,880,携程
2025-03-17,2025-03-19,标准间,380,携程
2025-03-17,2025-03-20,大床房,450,携程
2025-03-18,2025-03-18,标准间,380,携程
2025-03-18,2025-03-21,套房,880,直接预订
2025-03-19,2025-03-21,标准间,380,飞猪
2025-03-19,2025-03-22,大床房,450,携程
2025-03-20,2025-03-22,标准间,380,美团
2025-03-20,2025-03-23,套房,880,携程
2025-03-21,2025-03-23,标准间,380,携程
2025-03-21,2025-03-24,大床房,450,携程
2025-03-22,2025-03-24,标准间,380,Booking
2025-03-22,2025-03-25,套房,880,携程
2025-03-23,2025-03-25,标准间,380,携程
2025-03-23,2025-03-26,大床房,450,直接预订
2025-03-24,2025-03-26,标准间,380,飞猪
2025-03-24,2025-03-27,套房,880,美团
2025-03-25,2025-03-27,标准间,380,携程
2025-03-25,2025-03-28,大床房,450,携程
2025-03-26,2025-03-28,标准间,380,携程
2025-03-26,2025-03-29,套房,880,携程
2025-03-27,2025-03-29,标准间,380,携程
2025-03-27,2025-03-30,大床房,450,Booking
2025-03-28,2025-03-30,标准间,380,美团
2025-03-28,2025-03-31,套房,880,直接预订
2025-03-29,2025-03-31,标准间,380,携程
2025-03-29,2025-04-01,大床房,450,携程
2025-04-01,2025-04-03,标准间,450,携程
2025-04-01,2025-04-04,套房,980,携程
2025-04-02,2025-04-04,标准间,450,美团
2025-04-02,2025-04-05,大床房,550,携程
2025-04-03,2025-04-05,标准间,450,携程
2025-04-03,2025-04-06,套房,980,飞猪
2025-04-04,2025-04-06,标准间,450,携程
2025-04-04,2025-04-07,大床房,550,直接预订
2025-04-05,2025-04-07,标准间,450,携程
2025-04-05,2025-04-08,套房,980,美团
2025-04-06,2025-04-08,标准间,450,Booking
2025-04-06,2025-04-09,大床房,550,携程
2025-04-07,2025-04-09,标准间,450,携程
2025-04-07,2025-04-10,套房,980,携程
2025-04-08,2025-04-10,标准间,450,携程
2025-04-08,2025-04-11,大床房,550,飞猪
2025-04-09,2025-04-11,标准间,450,美团
2025-04-09,2025-04-12,套房,980,直接预订
2025-04-10,2025-04-12,标准间,450,携程
2025-04-10,2025-04-13,大床房,550,携程
2025-04-11,2025-04-13,标准间,450,携程
2025-04-11,2025-04-14,套房,980,Booking
2025-04-12,2025-04-14,标准间,450,携程
2025-04-12,2025-04-15,大床房,550,美团
2025-04-13,2025-04-15,标准间,450,飞猪
2025-04-13,2025-04-16,套房,980,携程
2025-04-14,2025-04-16,标准间,450,携程
2025-04-14,2025-04-17,大床房,550,携程
2025-04-15,2025-04-17,标准间,450,直接预订
2025-04-15,2025-04-18,套房,980,携程
2025-04-16,2025-04-18,标准间,450,携程
2025-04-16,2025-04-19,大床房,550,美团
2025-04-17,2025-04-19,标准间,450,Booking
2025-04-17,2025-04-20,套房,980,飞猪
2025-04-18,2025-04-20,标准间,450,携程
2025-04-18,2025-04-21,大床房,550,携程
2025-04-19,2025-04-21,标准间,450,携程
2025-04-19,2025-04-22,套房,980,直接预订
2025-04-20,2025-04-22,标准间,450,携程
2025-04-20,2025-04-23,大床房,550,携程
2025-04-21,2025-04-23,标准间,450,美团
2025-04-21,2025-04-24,套房,980,携程
2025-04-22,2025-04-24,标准间,450,飞猪
2025-04-22,2025-04-25,大床房,550,Booking
2025-04-23,2025-04-25,标准间,450,携程
2025-04-23,2025-04-26,套房,980,携程
2025-04-24,2025-04-26,标准间,450,携程
2025-04-24,2025-04-27,大床房,550,直接预订
2025-04-25,2025-04-27,标准间,450,美团
2025-04-25,2025-04-28,套房,980,携程
2025-04-26,2025-04-28,标准间,450,携程
2025-04-26,2025-04-29,大床房,550,飞猪
2025-04-27,2025-04-29,标准间,450,Booking
2025-04-27,2025-04-30,套房,980,携程
2025-04-28,2025-04-30,标准间,450,携程
2025-04-28,2025-05-01,大床房,550,直接预订
2025-05-01,2025-05-04,套房,1280,携程
2025-05-01,2025-05-03,大床房,750,携程
2025-05-01,2025-05-04,标准间,580,美团
2025-05-02,2025-05-04,标准间,580,携程
2025-05-02,2025-05-05,大床房,750,携程
2025-05-02,2025-05-05,套房,1280,飞猪
2025-05-03,2025-05-05,标准间,580,携程
2025-05-03,2025-05-06,大床房,750,直接预订
2025-05-03,2025-05-06,套房,1280,携程
2025-05-04,2025-05-06,标准间,580,携程
2025-05-04,2025-05-07,大床房,750,Booking
2025-05-04,2025-05-07,套房,1280,美团
2025-05-05,2025-05-07,标准间,580,携程
2025-05-05,2025-05-08,大床房,750,携程
2025-05-05,2025-05-08,套房,1280,携程
2025-05-06,2025-05-08,标准间,580,飞猪
2025-05-06,2025-05-09,大床房,750,携程
2025-05-06,2025-05-09,套房,1280,直接预订
2025-05-07,2025-05-09,标准间,580,美团
2025-05-07,2025-05-10,大床房,750,携程
2025-05-07,2025-05-10,套房,1280,携程
2025-05-08,2025-05-10,标准间,580,Booking
2025-05-08,2025-05-11,大床房,750,携程
2025-05-08,2025-05-11,套房,1280,飞猪
2025-05-09,2025-05-11,标准间,580,携程
2025-05-09,2025-05-12,大床房,750,直接预订
2025-05-09,2025-05-12,套房,1280,携程
2025-05-10,2025-05-12,标准间,580,携程
2025-05-10,2025-05-13,大床房,750,美团
2025-05-10,2025-05-13,套房,1280,携程
2025-05-11,2025-05-13,标准间,580,携程
2025-05-11,2025-05-14,大床房,750,携程
2025-05-11,2025-05-14,套房,1280,Booking
2025-05-12,2025-05-14,标准间,580,飞猪
2025-05-12,2025-05-15,大床房,750,携程
2025-05-12,2025-05-15,套房,1280,携程
2025-05-13,2025-05-15,标准间,580,直接预订
2025-05-13,2025-05-16,大床房,750,美团
2025-05-13,2025-05-16,套房,1280,携程
2025-05-14,2025-05-16,标准间,580,携程
2025-05-14,2025-05-17,大床房,750,携程
2025-05-14,2025-05-17,套房,1280,携程
2025-05-15,2025-05-17,标准间,580,飞猪
2025-05-15,2025-05-18,大床房,750,Booking
2025-05-15,2025-05-18,套房,1280,直接预订
2025-05-16,2025-05-18,标准间,580,携程
2025-05-16,2025-05-19,大床房,750,携程
2025-05-16,2025-05-19,套房,1280,美团
2025-05-17,2025-05-17,标准间,580,携程
2025-05-17,2025-05-20,大床房,750,携程
2025-05-17,2025-05-20,套房,1280,携程
2025-05-18,2025-05-20,标准间,580,飞猪
2025-05-18,2025-05-21,大床房,750,携程
2025-05-18,2025-05-21,套房,1280,直接预订
2025-05-19,2025-05-21,标准间,580,Booking
2025-05-19,2025-05-22,大床房,750,美团
2025-05-19,2025-05-22,套房,1280,携程
2025-05-20,2025-05-22,标准间,580,携程
2025-05-20,2025-05-23,大床房,750,携程
2025-05-20,2025-05-23,套房,1280,携程
2025-05-21,2025-05-23,标准间,580,携程
2025-05-21,2025-05-24,大床房,750,飞猪
2025-05-21,2025-05-24,套房,1280,Booking
2025-05-22,2025-05-24,标准间,580,直接预订
2025-05-22,2025-05-25,大床房,750,携程
2025-05-22,2025-05-25,套房,1280,美团
2025-05-23,2025-05-25,标准间,580,携程
2025-05-23,2025-05-26,大床房,750,携程
2025-05-23,2025-05-26,套房,1280,携程
2025-05-24,2025-05-26,标准间,580,携程
2025-05-24,2025-05-27,大床房,750,携程
2025-05-24,2025-05-27,套房,1280,直接预订
2025-05-25,2025-05-27,标准间,580,飞猪
2025-05-25,2025-05-28,大床房,750,Booking
2025-05-25,2025-05-28,套房,1280,携程
2025-05-26,2025-05-28,标准间,580,携程
2025-05-26,2025-05-29,大床房,750,美团
2025-05-26,2025-05-29,套房,1280,携程
2025-05-27,2025-05-29,标准间,580,携程
2025-05-27,2025-05-30,大床房,750,携程
2025-05-27,2025-05-30,套房,1280,携程
2025-05-28,2025-05-30,标准间,580,直接预订
2025-05-28,2025-05-31,大床房,750,携程
2025-05-28,2025-05-31,套房,1280,飞猪
2025-05-29,2025-05-31,标准间,580,Booking
2025-05-29,2025-06-01,大床房,750,携程
2025-05-29,2025-06-01,套房,1280,美团
