order_id,return_reason,product_category,price_range,purchase_season,quantity,return_date
R069,色差严重,服装,100-200,秋季,1,2025-10-25
R070,质量瑕疵,家居用品,200-500,冬季,1,2025-11-25
R071,尺码不合,服装,200-500,夏季,1,2025-07-10
R072,物流损坏,电子产品,500-1000,春季,1,2025-05-05
R073,包装破损,食品,0-100,夏季,4,2025-08-01
R074,与描述不符,服装,100-200,冬季,1,2025-12-02
R075,不喜欢,电子产品,500-1000,秋季,1,2025-09-12
R076,色差严重,家居用品,100-200,夏季,1,2025-07-15
R077,质量瑕疵,服装,100-200,春季,2,2025-04-20
R078,尺码不合,食品,0-100,冬季,1,2025-11-18
R079,物流损坏,家居用品,200-500,夏季,1,2025-08-25
R080,与描述不符,服装,200-500,秋季,1,2025-10-05
R081,不喜欢,食品,0-100,夏季,2,2025-06-30
R082,色差严重,电子产品,1000以上,冬季,1,2025-12-12
R083,质量瑕疵,服装,100-200,夏季,1,2025-07-20
R084,尺码不合,家居用品,200-500,春季,1,2025-03-25
R085,包装破损,服装,100-200,夏季,3,2025-08-06
R086,物流损坏,食品,0-100,秋季,2,2025-09-28
R087,与描述不符,电子产品,500-1000,夏季,1,2025-07-08
R088,不喜欢,服装,200-500,冬季,1,2025-11-08
R089,色差严重,家居用品,200-500,春季,1,2025-05-20
R090,质量瑕疵,食品,0-100,夏季,3,2025-08-18
R091,尺码不合,服装,100-200,夏季,2,2025-06-10
R092,物流损坏,电子产品,500-1000,冬季,1,2025-12-22
R093,与描述不符,家居用品,100-200,秋季,1,2025-10-18
R094,不喜欢,服装,100-200,春季,1,2025-04-15
R095,色差严重,服装,200-500,夏季,1,2025-08-30
R096,质量瑕疵,电子产品,500-1000,春季,1,2025-03-08
R097,尺码不合,服装,100-200,冬季,1,2025-11-05
R098,包装破损,食品,0-100,夏季,2,2025-07-25
R099,物流损坏,家居用品,200-500,秋季,1,2025-09-15
R100,与描述不符,服装,100-200,夏季,1,2025-08-14
R101,尺码不合,服装,200-500,夏季,1,2025-07-03
R102,色差严重,食品,0-100,冬季,1,2025-12-06
R103,质量瑕疵,家居用品,200-500,夏季,1,2025-06-18
R104,物流损坏,服装,100-200,春季,1,2025-05-08
R105,不喜欢,电子产品,500-1000,夏季,1,2025-08-22
R106,与描述不符,食品,0-100,秋季,2,2025-10-28
R107,尺码不合,服装,100-200,夏季,1,2025-07-16
R108,包装破损,家居用品,100-200,冬季,1,2025-11-12
R109,色差严重,服装,200-500,秋季,1,2025-09-02
R110,质量瑕疵,电子产品,1000以上,夏季,1,2025-08-09
R111,物流损坏,食品,0-100,春季,3,2025-04-02
R112,不喜欢,服装,100-200,冬季,2,2025-12-30
R113,与描述不符,家居用品,200-500,夏季,1,2025-07-23
R114,尺码不合,服装,100-200,春季,1,2025-03-20
R115,色差严重,电子产品,500-1000,秋季,1,2025-10-10
R116,质量瑕疵,服装,200-500,夏季,1,2025-08-26
R117,物流损坏,家居用品,100-200,冬季,1,2025-11-02
R118,不喜欢,食品,0-100,夏季,1,2025-06-22
R119,包装破损,服装,100-200,秋季,2,2025-09-20
R120,与描述不符,电子产品,500-1000,春季,1,2025-05-25
